平均気温(℃)	平均湿度(％)	日照時間(時間)	平均風速(m/s)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均海面気圧(hPa)
20.4	90	1.1	3.3	21.4	1005.8	1006.5
20.3	84	4.2	2.2	20	1009.5	1010.2
19.2	72	5	2.4	15.8	1014.2	1014.9
18.8	71	8.5	2.2	15.2	1010.7	1011.4
19.5	67	10.5	1.9	15	1007.2	1007.9
19.4	78	2.2	2.1	17.6	1010.4	1011.1
19.8	74	8.8	1.5	16.7	1015.8	1016.5
20.4	75	0.5	2.1	17.9	1015.4	1016.1
20.8	75	0.5	2	18.2	1010.2	1010.9
18.9	76	0.1	3	16.7	1008.4	1009.1
18.2	64	3.3	2.5	13.2	1017.3	1018
17	72	2.4	1.5	13.6	1024.6	1025.3
19.8	69	1.3	7.5	16	1014.5	1015.2
21.8	72	8.6	2.6	18.6	1011.1	1011.8
21.4	85	2.9	2	21.5	1010.1	1010.8
18.7	80	1.1	1.7	17.2	1014.7	1015.4
17.6	76	5.1	1.7	15.1	1018.8	1019.5
15	64	1.2	2.2	10.8	1022.9	1023.6
14	70	9.1	1.5	10.9	1021.8	1022.5
14.1	74	7.4	1.7	11.6	1021.4	1022.1
14.3	82	0.1	1.8	13.3	1022.2	1022.9
15	70	10	1.8	11.6	1025.7	1026.4
15.1	63	10.5	4.4	10.4	1022.8	1023.5
18.1	64	0.4	4.8	13.3	1014.8	1015.5
12.4	77	1.2	3.3	10.9	1007.6	1008.3
14.5	65	5.8	4.4	10.7	1012.6	1013.3
14.7	74	5.3	2.2	12.1	1016.9	1017.6
13.8	80	7.5	1.5	12.4	1019.8	1020.5
13.6	75	9.1	1.6	11.5	1018.5	1019.2
14.4	59	5	3.2	9.7	1018.9	1019.6
12.4	58	3.4	3.4	8.3	1020.8	1021.5
11.3	77	7.7	2.1	10	1025.3	1026
13.5	64	3.4	2.5	9.6	1022.6	1023.3
13.4	73	2.3	3.7	11.1	1009	1009.7
10.3	70	1.8	4.3	8.6	1015.9	1016.6
10.9	88	1.2	2.5	11.4	1024.6	1025.3
12.7	75	3	1.9	10.9	1023.1	1023.8
15	61	1.2	4	10.5	1012	1012.7
9.7	62	0.9	4.4	7.4	1015.8	1016.5
8.5	68	2	3.6	7.5	1021.7	1022.4
9	66	2.4	3.2	7.5	1030.4	1031.1
8.5	71	9.6	1.9	7.7	1031.1	1031.8
12	74	4.2	2.4	10.5	1024.7	1025.4
11.1	67	7.7	2.1	8.6	1029	1029.7
10.5	67	9.3	1.9	8.1	1026.6	1027.3
13.3	75	1.5	2.4	11.5	1023.8	1024.5
11.8	74	9.4	1.7	10.1	1027.2	1027.9
14.2	72	6.2	1.8	11.4	1022.9	1023.6
17.6	65	7.2	2.8	12.8	1014.2	1014.9
11.8	67	1.7	3.9	9.3	1019.1	1019.8
12.3	74	6.1	3.1	10.5	1016.4	1017.1
10.3	73	0.2	4.1	9.3	1018	1018.7
9.3	68	5.5	2.1	7.9	1025.5	1026.2
10.2	69	3.6	1.5	8.5	1022.4	1023.1
9.6	72	3.7	1.9	8.5	1018.9	1019.6
8.9	66	1.9	5.4	7.6	1015.9	1016.6
7.8	74	0.6	2.6	7.8	1022.3	1023
7.2	89	0.1	1.4	9	1025.1	1025.8
7.3	75	2.8	2.4	7.5	1026.4	1027.1
7	81	0.3	2.4	8.1	1017.9	1018.6
7	66	1.5	3.2	6.5	1024.1	1024.8
7.5	76	2.1	3.6	7.8	1023.4	1024.1
8.5	86	3.3	2.2	9.5	1023.8	1024.5
10.2	81	2.5	2.7	10	1019.8	1020.5
6.2	82	1.8	1.7	7.7	1023.8	1024.5
